&#xE000;	™
&#xE001;	♠
&#xE002;	♣
&#xE003;	♥
&#xE004;	♦
&#xE005;	✓
&#xE006;	¡
&#xE007;	¢
&#xE008;	£
&#xE009;	¤
&#xE00A;	¥
&#xE00B;	¦
&#xE00C;	§
&#xE00D;	¨
&#xE00E;	©
&#xE00F;	ª
&#xE010;	«
&#xE011;	¬
&#xE012;	­
&#xE013;	®
&#xE014;	¯
&#xE015;	°
&#xE016;	±
&#xE017;	²
&#xE018;	³
&#xE019;	´
&#xE01A;	µ
&#xE01B;	¶
&#xE01C;	·
&#xE01D;	¸
&#xE01E;	¹
&#xE01F;	º
&#xE020;	»
&#xE021;	¼
&#xE022;	½
&#xE023;	¾
&#xE024;	¿
&#xE025;	À
&#xE026;	Á
&#xE027;	Â
&#xE028;	Ã
&#xE029;	Ä
&#xE02A;	Å
&#xE02B;	Æ
&#xE02C;	Ç
&#xE02D;	È
&#xE02E;	É
&#xE02F;	Ê
&#xE030;	Ë
&#xE031;	Ì
&#xE032;	Í
&#xE033;	Î
&#xE034;	Ï
&#xE035;	Ð
&#xE036;	Ñ
&#xE037;	Ò
&#xE038;	Ó
&#xE039;	Ô
&#xE03A;	Õ
&#xE03B;	Ö
&#xE03C;	×
&#xE03D;	Ø
&#xE03E;	Ù
&#xE03F;	Ú
&#xE040;	Û
&#xE041;	Ü
&#xE042;	Ý
&#xE043;	Þ
&#xE044;	ß
&#xE045;	à
&#xE046;	á
&#xE047;	â
&#xE048;	ã
&#xE049;	ä
&#xE04A;	å
&#xE04B;	æ
&#xE04C;	ç
&#xE04D;	è
&#xE04E;	é
&#xE04F;	ê
&#xE050;	ë
&#xE051;	ì
&#xE052;	í
&#xE053;	î
&#xE054;	ï
&#xE055;	ð
&#xE056;	ñ
&#xE057;	ò
&#xE058;	ó
&#xE059;	ô
&#xE05A;	õ
&#xE05B;	ö
&#xE05C;	÷
&#xE05D;	ø
&#xE05E;	ù
&#xE05F;	ú
&#xE060;	û
&#xE061;	ü
&#xE062;	ý
&#xE063;	þ
&#xE064;	ÿ
&#xE065;	Œ
&#xE066;	œ
&#xE067;	Š
&#xE068;	š
&#xE069;	Ÿ
&#xE06A;	ƒ
&#xE06B;	＾
&#xE06C;	̃
&#xE06D;	 
&#xE06E;	ɔ
&#xE06F;	ɔ̀
&#xE070;	ɔ́
&#xE071;	ə
&#xE072;	ə̀
&#xE073;	ə́
&#xE074;	ʌ
&#xE075;	ʌ̀
&#xE076;	ʌ́
&#xE077;	ː
&#xE078;	ɑ
&#xE079;	ὰ
&#xE07A;	ά
&#xE07B;	ʃ
&#xE07C;	ʊ
&#xE07D;	ŋ
&#xE07E;	ɵ
&#xE07F;	ʒ
&#xE080;	ɒ
&#xE081;	Ā
&#xE082;	ā
&#xE083;	Ē
&#xE084;	ē
&#xE085;	Ī
&#xE086;	ī
&#xE087;	Ō
&#xE088;	ō
&#xE089;	Ū
&#xE08A;	ū
&#xE08B;	◇
&#xE08C;	▶
&#xE08D;	⅓
